company_name,job_title,city,company_location,salary,snippet
"RightRez, Inc.",Full Stack Software Engineer,Remote,Remote,"$100,000 - $130,000 a year","Experience building scalable, performant, secure, and reliable cloud-native systems.Plan, design, develop, test and deploy distributed software applications…"
Baylor College of Medicine,Software Engineering and Programming Specialist,Houston, TX 77030 (Medical Center area),,Develops and implements code to realize system design for software applications including web-based database applications and related software applications.
"Foundation Medicine, Inc.",Software Engineer III,Boston, MA 02210 (South Boston area),,"Maintain efforts for product or platform to be resilient, cloud-native, secure, and scalable.Bachelor’s Degree and 4+ years of software engineering experience;…"
"Epson America, Inc",Software Engineer - Remote,Los Alamitos, CA,,"Integrate Epson source code with open source software, and software produced by both Epson affiliates and third party companies."
Microsoft,Principal Software Engineer,New York, NY,,"At least 6+ years of experience shipping or running production systems and/or software, including complex production systems that run on a public cloud."
"The Computer Place, Inc.",Senior Systems Engineer,Lewiston, ME,"$65,000 a year","Other critical skills include: Office 365 administration, working knowledge of antivirus software, Microsoft Office, backup software, remote monitoring and…"
Upwork,Mobile Software Engineer (Android),San Diego, CA 92101,,"Experience with software toolkit design and implementation.As a Mobile Developer, you will be responsible for developing software on both Mobile and Wearable…"
Barn2Door,Senior Software Engineer/Developer,Seattle, WA 98103 (Wallingford area),"$105,000 - $165,000 a year","A real passion for solving complex software engineering puzzles in a dynamic environment.Deep understanding of software design principles, algorithms, data…"
QualTel Communications,Data Analytics Engineer,Los Angeles, CA,"$82,379 - $206,512 a year","Develop a point of view on key global trends, and how they impact clients.Analyse complex ideas or proposals and build a range of meaningful recommendations."
"Electro Optical Industries, Inc.",Computer Software Engineer,Santa Barbara, CA 93117,,"Define the software architecture for new product developments.This position is located in Goleta, CA and will be responsible for developing firmware and…"
Avtex,Associate Consultant - Application Developer (Federal),Remote,Remote,,Paid time off and paid holidays.Our Consultants deliver solutions using Microsoft technologies and experience the complete project lifecycle using Agile…
SAP,Software Developer - SuccessFactors,Palo Alto, CA 94304,,"Frameworks and platform built with cutting edge technologies, which can be customized to customer’s extreme needs.Experience with Spring Hibernate and PL/SQL."
DIRECTV,Customer Service Representative - Tech Support,Missoula, MT 59801 (Franklin To The Fort area),$15.43 - $18.00 an hour,Your success will be dependent on how effective you are at transforming a frustrated exchange into an excellent customer experience.
First Security Bank,Full Time Software Developer,Searcy, AR 72143,"From $50,000 a year",The Software Developer will be responsible for coding and support of web and PC based applications as well as database development and administration.
Deloitte,"Senior Software Engineer - .NET Core, Azure",Dallas, TX 75201 (Downtown area),,"Designs reliable, scalable, and performant end-to-end architectures – functional, data, technology, infrastructure.Create Web UI applications using angular."
All Points Logistics,Software Engineer III - Flight Software,Huntsville, AL 35805,,This is a staff to hire position in support of Lockheed Martin’s Strategic & Missile Defense Systems Division.BS Engineering from an ABET accredited school.
Deloitte,DevOps Engineer,Tampa, FL 33602 (Downtown area),,"The pipeline will include: the automated build process, environment setups, testing scripts, deployments, and production operational metrics/debugging…"
Deloitte,Global IAM Active Directory Engineer,Miami, FL 33131 (Downtown area),,"Strong Windows server 2016 administration.Strong knowledge of Windows 2016 Active Directory design and administration, including monitoring, troubleshooting…"
Deloitte,Senior Virtualization,Glen Mills, PA 19342,,"Has a basic knowledge and background of Solutions Architecture technologies, processes and issues, sufficiently enough to be able to understand how to proceed…"
bva technology services,Systems Support Engineer,Scottsdale, AZ 85260 (North Scottsdale area),"$50,000 - $70,000 a year",Manages & maintains CRM/ticketing system Keeps client documentation up to date.Maintains an efficient and accurate computing environment and infrastructure…
BizSpeed Inc,"Full-stack .NET Developer - ASP.NET Core, Vue.js, SQL Server",Remote,Remote,"$75,000 - $149,086 a year","NET web app to our current VueJS based platform.We are mobile and web software company based in Alpharetta, GA (20+ yrs) looking for a full-stack ."
"Foundation Medicine, Inc.",Software Engineer I,Boston, MA 02210 (South Boston area),,"Maintain efforts for product or platform to be resilient, cloud-native, secure, and scalable.1+ year(s) of software engineering experience."
SAP,Software Design Engineer - Backend,Allen, TX 75013,,1+ years of professional software development experience.Ability to write clean and scalable code.Displays passion for & responsibility to the customer.
Glassdoor,"Senior Software Engineer in Test, Core Content",Remote,Ohio,"$117,700 - $147,100 a year",3+ years of work building scalable test infrastructure for web applications.Generous paid holidays and open paid time off.
Deloitte,Solution Architect,Chicago, IL 60606 (The Loop area),,"The role will also engage with leadership and work with Engagement Leads, TDMs, Developers, Operations and other Architects, in a cross-functional environment…"
Deloitte,Cyber Remediation Team Analyst (REMOTE),Miami, FL 33131 (Downtown area),,"Strong computer skills including Microsoft Office suite, SharePoint and other business-related software systems."
Preston Harris Group,QA Engineer,Woodcliff Lake, NJ,,Focus on how the product performs from the customer's perspective and ensure it feels” right.Interact with real customers and learn how they use the product.
Deloitte,Azure Application Developer,Tampa, FL 33602 (Downtown area),,Investigate and correct reported issues against existing software.Advanced proficiency in software development lifecycle methodologies (Agile preferred).
Deloitte,"Project Manager, DFlow",Miami, FL 33131 (Downtown area),,"Collaborate with internal clients, project team members, and other Deloitte teams on program planning, program integration, project management, and technical…"
Deloitte,IT Service Assurance and Controls,Miami, FL 33131 (Downtown area),,Provide control analytics and related risk reporting to management and business stakeholders.Using control design inputs from the quality and certification…
Deloitte,Senior Data Engineer,Chicago, IL 60606 (The Loop area),,"As a Senior Data Engineer, you will be responsible for designing, building, and supporting data analytic products for the audit practice within Deloitte…"
Deloitte,Senior Full Stack Engineer,Chicago, IL 60606 (The Loop area),,At least 6 years expertise in building large scale big data applications.6+ years expertise in building large scale ETL pipelines to onboard data into the…
Children's of Alabama,Technical Engineer Architect,Birmingham, AL 35233 (Five Points South area),,"The Technical Engineer Architect position will manage and service a large scale of endpoint devices such as desktops, laptops and VDI devices and will…"
Deloitte,Cloud Architect,Miami, FL 33131 (Downtown area),,"Design efficient, secure, adaptable, scalable, and reliable cloud solutions that include Azure infrastructure and platform services (data, networking,…"
91bnb,UI Assistant,El Monte, CA,,At least 2-years working experience in the related web based software development fields.Support and design for company’s marketing event.
Figure,"Senior Front-End Software Engineer, Digital Funds Services",Remote,Montana,,"Design, develop and test high-performing, scalable UI in React.Collaborate with project leads and other software engineers across multiple teams."
Deloitte,Tier 2 Security Event Monitoring Analyst,Alexandria, VA 22314 (King St. Metro-Eisenhower Ave. area),,Provide timely advice and guidance on the response action plans for events and incidents based on incident type and severity.
Ascent Software Group LLC,Business Intelligence and Reporting Analyst,Alpine, UT 84004,,"On top of being a highly effective data guru, the ideal candidate will be a great communicator and not afraid to share opinions on how to deliver the best user…"
Gainwell Technologies,"Help Desk Representative - Baton Rouge, LA",Baton Rouge, LA 70809 (Westminster area),,"Experience working with and skilled in the use of help desk software.Experience working with fax machines, computer software, and telephone technology."
BizSpeed Inc,"Full-stack .NET Developer - ASP.NET Core, Vue.js, SQL Server",Remote,Remote,"$75,000 - $149,086 a year","NET web app to our current VueJS based platform.We are mobile and web software company based in Alpharetta, GA (20+ yrs) looking for a full-stack ."
Star2Star Communications,Sr. Software Engineer - VOIP,Huntsville, AL,,"5+ years professional software development experience.Experience with highly scalable SIP proxies (Kamailio, OpenSIPS) a plus."
bva technology services,Systems Support Engineer,Scottsdale, AZ 85260 (North Scottsdale area),"$50,000 - $70,000 a year",Manages & maintains CRM/ticketing system Keeps client documentation up to date.Maintains an efficient and accurate computing environment and infrastructure…
Deloitte,Cybersecurity Compliance and Governance Analyst,Miami, FL 33131 (Downtown area),,"Identify key cybersecurity requirements for Deloitte based on understanding the firm’s business objectives, cybersecurity risk appetite and considering: key…"
Uplift Education,IT Director,Dallas, TX 75247 (West Dallas area),,"Relationship-building skills with the ability to influence, develop and maintain effective collaboration and relations across the organization at multiple…"
TechZavy,IT Business Analyst,Saint Paul, MN 55106 (Greater Eastside area),$45 - $50 an hour,"Plan, manage, and track team work items, align priorities and build product backlog and manage requirements traceability information and track requirements…"
Deloitte,Intrusion Detection Prevention Service Manager,Miami, FL 33131 (Downtown area),,"High degree of personal integrity and ethics as well as a passion for protecting people and systems.The ""Intrusion Detection Prevention Service (IDPS) -…"
HTC Global Service.INC,Helpdesk Executive,Troy, MI 48084,,Receive incoming calls from Client Community and provide first level support; document each call verifying customer information and including all…
Chinese Community Health Care Association,Senior Clinical Integration Analyst,Remote,Remote,,"Ensures data integrity from multiple sources: Electronic Medical Record, Practice Management System, Claims, Patient Matching System, Quality Reporting…"
Triveni IT,Sr. Software Engineer ( Ruby on Rails),Irvine, CA,,"From incorporating cutting-edge technologies to designing robust customer-centric solutions that scale, the Software Engineer will rely on a skill set that…"
American Physical Therapy Association,"Specialist, Application Support",Alexandria, VA 22305 (Potomac Yard-Potomac Greens area),,A member of the Information Technology department that implements efforts to support organizational priorities and activities within the Information Technology…
Deloitte,Quality Assurance Lead,Miami, FL 33131 (Downtown area),,"Drive automation of test cases.Identify impact of new functionalities and make automation enhancements.Develop, test and execute automation scripts."
Deloitte,"Manager, Cyber Security Splunk Engineering",Miami, FL 33131 (Downtown area),,"An understanding of the following technologies: leading SIEM technologies such as Splunk and ArcSight, IDS/IPS, network- and host- based firewalls, anti-virus…"
Deloitte,Firewall Engineer - Senior Consultant,Miami, FL 33131 (Downtown area),,You will provide engineering support for firewalls on multiple platforms across the Deloitte global infrastructure; lead engineering projects to completion…
JPL/NASA,IT Security Engineer IV,Pasadena, CA 91109,,Significant understanding of HR reporting and analytics design and implementation.We are looking for an IT Security Engineer to join our Identity Credential…
91bnb,FE Programmer,El Monte, CA,,At least 3-year software development experience.Great communication skills and have passion to develop relationships with others.
OSF HealthCare,Application System Analyst,Peoria, IL 61615,,"Solid computer skills, including proficiency with Microsoft software.POSITION SUMMARY: The Application System Analyst l, will evaluate, plan, design, and…"
NMG Technology Services,Cyber Security Engineer-SIEM Specialist,New York, NY 10007 (Tribeca area),$50 - $55 an hour,"Develop User Entity Behavioral Analytic (UEBA) policies and rules within the NextGen SIEM platform and tune alerts for accuracy.Job Types: Full-time, Contract."
Meritore Technologies,Full Stack .Net Developer,Raleigh, NC 27617 (Central area),,Client requires candidate to be on-site three days a week. *.This is a contract to hire full time position.*.Onsite 4 days per week.
"TruQC, LLC",iOS developer for mature product and configurable framework,Remote,Remote,,"You'll have an enthusiasm for quality code, and working with big, global customers.TruQC is looking for an experienced iOS developer eager to work on a mature,…"
Avtex,Sr. Consultant - App Dev (Federal),Remote,Remote,,"Utilizing the Avtex 360 model as a guide, our consultants take clients on a journey through strategy, implementation, customization, and support, ensuring…"
"Latham Pool Products, Inc",IT NetSuite Developer,Latham, NY 12110,,3+ years’ experience in developing and supporting Oracle NetSuite platform and Java Scripting with at least one full cycle project implementation.
Deloitte,Cybersecurity Compliance - Senior Manager,Miami, FL 33131 (Downtown area),,"Experience building compliance programs, including assessing and managing compliance against agreed standards at the level of individual security controls …"
SimIS Inc.,Front and Back End Developer,Norfolk, VA,,"Experience with building and maintaining a product’s CI/CD pipeline.Design, develop, build, test, deliver and maintain products as part of a balanced, self…"
Deloitte,Cyber Threat Hunter Manager,Chicago, IL 60606 (The Loop area),,The Tier 3/Threat Hunting Shift Manager reports to the Event Monitoring (EM) Service Delivery Manager.Tier 3 enables successful GFC operations by supporting…
Uplift Education,IT Director,Dallas, TX 75247 (West Dallas area),,"Relationship-building skills with the ability to influence, develop and maintain effective collaboration and relations across the organization at multiple…"
Avtex,Engagement Director (Federal),Remote,Remote,,"The Engagement Director is responsible for leading, guiding and owning multiple complex, large transformation engagements and ensuring client success, which…"
DISH,Staff Engineer - Apps,Englewood, CO 80112,"$99,360 a year",8+ years of overall relevant experience in developing connected platform applications with expertise in at least one of Browser/Firestick/Roku.
Deloitte,Reliability Engineer - SharePoint,Chicago, IL 60606 (The Loop area),,"Experience developing in one or more software development language (e.g., preferably C#).Minimum of 7 years of combined experience in the Development /…"
Dart Container,Digital Experience Designer,Mason, MI,,"Benefits: Dart Container full-time employees enjoy great benefits, including medical, dental, vision, life insurance, 401(k) with company matching contributions…"
Deloitte,Cyber Compliance Director,New York, NY,,"Establishes the strategic plan, processes/procedures and policies for the Cybersecurity Compliance group in alignment with company policies and goals."
RUAG,US IT Manager,Huntsville, AL,,"Excellent knowledge of technical management, information analysis and of computer hardware/software systems.Consult and advise business functions in IT related…"
Deloitte,Next Gen Network Engineer,Miami, FL 33131 (Downtown area),,Secure access service edge(SASE) platform and solutions.Help build a network-as-a-service (NaaS) delivery model to ensure resilience and scalable Global WAN…
Universal-Robots,Global Product Manager - UR+ Platform,Boston, MA,,"You will guide a product team that is charged with building a platform product to connect our customers with UR+ Partners and our ecosystem of developers,…"
United Methodist Retirement Communities,IT Project Manager,Chelsea, MI 48118,,"Affordable and layered benefit plans for individuals that are hired for 30 or more hours/week, Retirement Savings Plan (with potential Company match), Wellness…"
NMG Technology Services,Cyber Security Engineer-SIEM Specialist,New York, NY 10007 (Tribeca area),$50 - $55 an hour,"Develop User Entity Behavioral Analytic (UEBA) policies and rules within the NextGen SIEM platform and tune alerts for accuracy.Job Types: Full-time, Contract."
SAP,Principal UX Designer - SAP Fiori Mobile Design System,Palo Alto, CA 94304,,"Proven track record of leading design initiatives and driving software development.The SAP Design team defines the core design systems for SAP’s products,…"
First Security Bank,Full Time Help Desk I,Searcy, AR 72143,From $14 an hour,"Required to gain working knowledge in related activities such as testing, installing, maintaining, supporting, and/or averting hardware/software failures on…"
SimIS Inc.,Data Architect,Norfolk, VA,,Manage the development of predictive models and machine learning algorithms.Solid understanding of machine learning and the integrity of data and algorithms…
DISH,Data Scientist,Englewood, CO 80112,"$112,700 a year","The typical candidate has a Bachelor’s or Master’s degree in Math, Statistics, Computer Science, or Physics or such quantitative fields or has done a program…"
Salesforce,"Director, Enterprise Data Services",Dallas, TX 75201 (Downtown area),,"The ideal candidate will be able to see the big picture, have a passion for data, know the role of Service Operations, with a goal to provide the tools and…"
DUIT,Database Management Specialist 2 SR-037,Linthicum, MD,,Experience implementing document management processes and document management software applications using industry/Government best practices;
Universal-Robots,Global Product Manager - UR+ Platform,Boston, MA,,"You will guide a product team that is charged with building a platform product to connect our customers with UR+ Partners and our ecosystem of developers,…"
"Foundation Medicine, Inc.",Senior Experience Designer,Boston, MA 02210 (South Boston area),,"Create prototypes of possible design solutions to validate with users, working closely with an agile product team to build the software."
Synchrony Financial,"AVP, Solution Architect",Stamford, CT 06902 (Turn of River area),"$75,000 - $150,000 a year",Work with third party vendors to develop software and/or integrate their software into the company's products.Strong experience with Pivotal Cloud Foundry.
Avtex,Sr. Consultant - Data/AI Engineer (Federal),Remote,Remote,,"Avtex Solutions is a 3 time Microsoft Partner of the Year and multi-Gold Certified Microsoft Partner that specializes in the implementation of modern workplace,…"
"Coconut Tree Software, Inc.",iOS/Android/Java Developer,Las Vegas, NV 89121 (Paradise area),$25 - $35 an hour,Server-side Java development.IOS development: 1 year (Preferred).Android development: 1 year (Preferred).
Deloitte,"ServiceNow Senior Business Analyst, Audit",Miami, FL 33131 (Downtown area),,This opportunity requires advanced business analysis skills within the ServiceNow platform that enable the selected candidate to deliver a high level of service…
Deloitte,Informatica MDM Architect,Chicago, IL 60606 (The Loop area),,"Work with Studio leadership to define strategic technology direction for Studio applications.Primary technical contact for all vendor, cyber and infrastructure…"
Oracle,Sr Manager - Security Architecture,Remote,Oregon,,"Manage a team that is responsible for the information security function, including but not limited to information technology security controls and architecture,…"
Deloitte,Senior Solution Architect,Miami, FL 33131 (Downtown area),,"Bring new ideas in cloud, big data, and machine learning software development.Experience with natural language processing, named entity recognition, machine…"
Fifth Third Bank,Principal Data Engineer - EDW Lead,Cincinnati, OH,,"The person in this role creates scalable and reusable solutions for gathering, collecting, storing, processing, and serving data on both small and very large (i…"
Triveni IT,Sterling Commerce Lead Developer,Winston-Salem, NC,,At least 2 years of experience working with a software development methodology.At least 3 years of experience working with a software development methodology.
DemystData,IT Compliance Analyst,Remote,Remote,"$90,000 - $130,000 a year",Demyst unlocks innovation with the power of data.The IT Compliance Analyst will support Demyst’s information technology compliance program by helping to…
US Army,Cyber Operations Technician,Humble, TX 77338,,"Conduct network terrain audits, penetration testing, basic digital forensics and software threat analysis.30 days paid vacation annually."
Maven Clinic,Senior Product Designer,Remote,New York State,,"Work alongside product management, design, user research, data analytics, and engineering to build and grow the product experience across web, email, push, and…"
"IT Shoulders, Inc.",Sr. Infrastructure Engineer/System Administrator,San Jose, CA,,Diagnose and repair software/hardware failures for various equipment.At least 5 years of experience in infrastructure operations or infrastructure software…
2 Hands LLC,Senior Network Systems Engineer,Livingston, NJ,"$60,000 - $70,000 a year","Configure and install software, servers, routers and other network devices.You will mentor a team of engineers to troubleshoot and optimize our networks for…"
DISH,Sr Machine Learning Data Engineer,Foster City, CA 94404,"$99,360 a year","You understand what it takes to train predictive models from messy data, and how to evaluate them with realistic metrics."
Spectrum,Senior Frontend Developer,Portland, OR,,"Generating readable, maintainable, scalable and testable code.A successful Senior Front-End Developer at Pollinate will have the ability to prioritize well,…"
"FOCUS Employment Solutions, LLC",Application Security DLT Lead,Dallas, TX 75201,,"2 years of experience building smart contracts or codebase contributions related to smart contract analysis, auditing, design, and implementation."
Sanofi,Data Engineer,Bridgewater, NJ,,"The bulk of the data engineer’s work would be in building, managing and optimizing data pipelines and then moving these data pipelines effectively into…"
DISH,"Sr. Manager, Engineering - Apps",Englewood, CO 80112,"$114,885 a year","10+ years of overall relevant experience in developing connected platform applications with expertise in at least one of Browser/Firestick/Roku, 2+ years of…"
DISH,DevOps Manager,Englewood, CO 80112,"$114,885 a year","Have 2+ years of experience building and managing hybrid cloud platform supporting large, highly available enterprise grade applications."
DISH,Principal Platform Engineer,Denver, CO 80202 (Lodo area),"$114,885 a year","Take ownership of integration between the revenue management platform(s) and the network, BSS and OSS and/or for the complete life-cycle of charging, rating,…"
DISH,Partner Onboarding & Automation Lead,Englewood, CO 80112,"$99,360 a year","Familiarity with data analytics, training and knowledge management tools.The Partner Onboarding and Automation Lead is responsible for automating the…"
Sublime Computer Services,Systems Administrator,Hendersonville, TN 37075,"$65,000 - $75,000 a year",We support companies that require background and random drug testing.Active Directory: 5 years (Preferred).
StackSource,Fullstack Software Engineer II,Remote,Remote,"$115,000 - $135,000 a year","A passion for good engineering and desire to solve large, systemic problems in novel and innovative ways.Knowledge of computer science fundamentals, such as:…"
General Motors,Software Defined Vehicle- Infotainment Platform System Engin...,Sunnyvale, CA,,We are building an Infotainment platform software team which is tasked with two critical roles: co-developing software that will run GM's next generation…
Google,"Data Analyst, Compliance Education and Awareness",San Francisco, CA,,"4 years of analytical work experience in consulting, business intelligence, analytics, or an equivalent analyst position."
Vista,"Software Engineering Team Lead, Vistaprint Corporate Solutio...",Waltham, MA 02451,,"Lead a Software Team through designing, building, and supporting professional software services.Grow your skills every day by working on challenging problems…"
Sion Power,Embedded Software Engineer,Tucson, AZ 85756,,"Design, implement, test, and debug system support software using C++ and Python programming languages, including but not limited to data logging applications,…"
Detail Management,Cvent Web Designer,Houston, TX 77066,"$30,125 - $65,769 a year",You will develop and implement unique web-based applications.Must be able to travel onsite to venues and coordinate the onsite requirements as requested for…
Caesars Entertainment,Manager/IT- Full Time (Isle),Pompano Beach, FL 33069 (Arvida-Pompano Park area),,"Tests and evaluates hardware and software to determine efficiency, reliability and compatibility.Skills: Give full attention to what other people are saying,…"
EBSCO Information Services,Sr Software Engineer JAVA -(Remote),Remote,Massachusetts,,"Detailed understanding of Agile software engineering principles and methodologies.Provide expertise in developing secure, scalable, and responsive SaaS…"
Dynam.AI,Technical Recruiter (Contract) AI Software Company,Remote,Remote,$50 an hour,Craft and send personalized recruiting emails with current job openings to passive candidates.Dynam.AI's scientists work on a diverse set of problems and data…
BlueVerse,Full Stack Mobile Developer,Remote,Remote,"$75,000 - $125,000 a year","This position will be responsible for the design, development, and implementation of our mobile app.Working in this role, you will be working with the CEO, CTO…"
PlusMedia LLC,Data Analyst,Remote,Remote,"$50,000 - $60,000 a year","MS Access and/or Business Intelligence software a plus.Quantitative mindset, with a passion for numerical analyses and present data in a manner that is easy to…"
Google,"Developer Relations Manager, Material Design Advocacy",New York, NY (Chelsea area),,"Experience in technical consulting and software development.Material Design is an unified design system that combines design theory, engineering resources, and…"
Navisoft,Data Scientist,Remote,Remote,"$78,483 - $181,421 a year",2-5 years of hands on data and analytics experience.Lead statistical analysis and build scorecards for various and complex business problems.
Piper Companies,Full Stack Developer (100% remote),Remote,Remote,"$120,000 - $150,000 a year","Implement scalable, sustainable and maintainable applications.Shall have at least three (3) years of specific software engineering experience related to front…"
Consumer Reports,"Director, Statistics",Yonkers, NY 10703 (Nepera Park area),,"Widely known for our rigorous research and testing of products and services, we also survey millions of consumers each year, report extensively on marketplace…"
ArchWell Health,Azure Solutions Developer,Nashville, TN,,"ArchWell Health requires all new hires to provide proof that they are fully vaccinated from COVID-19, or represent that they will be fully vaccinated within 30…"
Ericsson,Netrwork Systems Admin,Plano, TX,,"The Ericsson Networks organization is looking for skilled, enthusiastic System Administrators that will be responsible for deploying, upgrading, maintaining and…"
Kaiser Permanente,Associate Systems Administrator,Downey, CA,,"Assists in the implementation of hardware and software changes into production environments.Supports system administration, including system security, software…"
Corterra Solutions,Helpdesk Support II,Lisle, IL 60532,,"Answer user inquiries regarding computer software or hardware operation to resolve problems.Develop training materials and procedures, or train users in the…"
